MakeDate,Month,Year,Housetype,Sales,Benchmark price,Open,High,Low,Close,Adj Close,Volume,Bank of Canada Target Overnight Rate,Births,Deaths,Immigrants,Emigrants,Returning emigrants,Net temporary emigration,Net interprovincial migration,Net intraprovincial migration,Net non-permanent residents
2014-01-01,1,2014,D,728,919700,13724.777343727,13772.499955545,13670.286310364,13728.081853727,13728.081853727,179950581.818182,1,23681,14290,30466,9775,4347,3954,1492,-4388,9993
2014-05-01,5,2014,A,1286,377500,14638.114350810,14678.242885048,14584.314220571,14635.738141714,14635.738141714,142653671.428571,1,23681,14290,30466,9775,4347,3954,1492,-4388,9993
2014-05-01,5,2014,T,547,469100,14638.114350810,14678.242885048,14584.314220571,14635.738141714,14635.738141714,142653671.428571,1,23681,14290,30466,9775,4347,3954,1492,-4388,9993
2014-05-01,5,2014,D,1453,966500,14638.114350810,14678.242885048,14584.314220571,14635.738141714,14635.738141714,142653671.428571,1,23681,14290,30466,9775,4347,3954,1492,-4388,9993
2007-02-01,2,2007,A,1269,342705,13217.3899902,13261.13989265,13146.24999995,13206.32495115,13206.32495115,193061345,4.25,22530,13455,32245,9838,4252,4302,3955,-5934,6098
2007-02-01,2,2007,T,469,419061,13217.3899902,13261.13989265,13146.24999995,13206.32495115,13206.32495115,193061345,4.25,22530,13455,32245,9838,4252,4302,3955,-5934,6098
2007-02-01,2,2007,D,1121,666983,13217.3899902,13261.13989265,13146.24999995,13206.32495115,13206.32495115,193061345,4.25,22530,13455,32245,9838,4252,4302,3955,-5934,6098
2006-02-01,2,2006,A,1212,297192,11785.5898925,11838.4049804,11713.66000985,11770.2699219,11770.2699219,180408190,3.5,21892,13396,38296,9215,4517,3562,3140,-5620,4152
2006-02-01,2,2006,T,552,364114,11785.5898925,11838.4049804,11713.66000985,11770.2699219,11770.2699219,180408190,3.5,21892,13396,38296,9215,4517,3562,3140,-5620,4152
2006-02-01,2,2006,D,1177,598989,11785.5898925,11838.4049804,11713.66000985,11770.2699219,11770.2699219,180408190,3.5,21892,13396,38296,9215,4517,3562,3140,-5620,4152
2022-01-01,1,2022,A,1315,775700,21035.50488285,21161.56982425,20856.53505855,21033.2450195,21033.2450195,262863980,0.25,,,,,,,,,
2022-01-01,1,2022,T,348,1029500,21035.50488285,21161.56982425,20856.53505855,21033.2450195,21033.2450195,262863980,0.25,,,,,,,,,
2022-01-01,1,2022,D,622,1963000,21035.50488285,21161.56982425,20856.53505855,21033.2450195,21033.2450195,262863980,0.25,,,,,,,,,
2010-08-01,8,2010,A,935,385968,11714.900018667,11782.081008286,11651.190429714,11728.561755810,11728.561755810,186650361.904762,0.75,23586,13545,36850,8906,4270,4460,3539,-1821,10467
2010-08-01,8,2010,T,374,489511,11714.900018667,11782.081008286,11651.190429714,11728.561755810,11728.561755810,186650361.904762,0.75,23586,13545,36850,8906,4270,4460,3539,-1821,10467
2010-08-01,8,2010,D,893,795076,11714.900018667,11782.081008286,11651.190429714,11728.561755810,11728.561755810,186650361.904762,0.75,23586,13545,36850,8906,4270,4460,3539,-1821,10467
2016-12-01,12,2016,A,915,510300,15261.06499025,15305.37011725,15224.53999015,15254.49501945,15254.49501945,223637860,0.5,24077,15161,34750,9574,4942,3788,9095,-9928,-5230
2016-12-01,12,2016,T,258,661800,15261.06499025,15305.37011725,15224.53999015,15254.49501945,15254.49501945,223637860,0.5,24077,15161,34750,9574,4942,3788,9095,-9928,-5230
2016-12-01,12,2016,D,541,1483500,15261.06499025,15305.37011725,15224.53999015,15254.49501945,15254.49501945,223637860,0.5,24077,15161,34750,9574,4942,3788,9095,-9928,-5230
2008-01-01,1,2008,A,860,378336,13226.468217455,13364.577281591,13073.527210591,13215.513627545,13215.513627545,238461368.181818,4.25,23039,13810,36617,9449,3945,4504,3826,-5610,9593
2008-01-01,1,2008,T,318,462627,13226.468217455,13364.577281591,13073.527210591,13215.513627545,13215.513627545,238461368.181818,4.25,23039,13810,36617,9449,3945,4504,3826,-5610,9593
2008-01-01,1,2008,D,641,742490,13226.468217455,13364.577281591,13073.527210591,13215.513627545,13215.513627545,238461368.181818,4.25,23039,13810,36617,9449,3945,4504,3826,-5610,9593
2010-02-01,2,2010,A,1074,390899,11417.610402842,11510.031558474,11359.078896,11453.668328632,11453.668328632,165491015.789474,0.25,23586,13545,36850,8906,4270,4460,3539,-1821,10467
2010-02-01,2,2010,T,416,495496,11417.610402842,11510.031558474,11359.078896,11453.668328632,11453.668328632,165491015.789474,0.25,23586,13545,36850,8906,4270,4460,3539,-1821,10467
2010-02-01,2,2010,D,983,800796,11417.610402842,11510.031558474,11359.078896,11453.668328632,11453.668328632,165491015.789474,0.25,23586,13545,36850,8906,4270,4460,3539,-1821,10467
2014-06-01,6,2014,A,1308,378000,14934.814360095,14981.133417048,14904.566731857,14960.514322905,14960.514322905,161603500,1,23681,14290,30466,9775,4347,3954,1492,-4388,9993
2014-06-01,6,2014,T,636,471200,14934.814360095,14981.133417048,14904.566731857,14960.514322905,14960.514322905,161603500,1,23681,14290,30466,9775,4347,3954,1492,-4388,9993
2014-06-01,6,2014,D,1462,976700,14934.814360095,14981.133417048,14904.566731857,14960.514322905,14960.514322905,161603500,1,23681,14290,30466,9775,4347,3954,1492,-4388,9993
2005-12-01,12,2005,A,1033,282079,11147.2049316,11183.0899415,11105.39990225,11150.78496105,11150.78496105,136128790,3.25,21756,13484,35990,9314,3656,3550,2976,-5484,4488
2005-12-01,12,2005,T,438,351970,11147.2049316,11183.0899415,11105.39990225,11150.78496105,11150.78496105,136128790,3.25,21756,13484,35990,9314,3656,3550,2976,-5484,4488
2005-12-01,12,2005,D,961,567417,11147.2049316,11183.0899415,11105.39990225,11150.78496105,11150.78496105,136128790,3.25,21756,13484,35990,9314,3656,3550,2976,-5484,4488
2012-05-01,5,2012,A,1156,379700,11670.381835864,11739.331853682,11575.422762682,11644.109064136,11644.109064136,187124886.363636,1,23339,13813,29630,9542,4251,3762,-2475,-3148,9255
2012-05-01,5,2012,T,517,470000,11670.381835864,11739.331853682,11575.422762682,11644.109064136,11644.109064136,187124886.363636,1,23339,13813,29630,9542,4251,3762,-2475,-3148,9255
2012-05-01,5,2012,D,1180,967500,11670.381835864,11739.331853682,11575.422762682,11644.109064136,11644.109064136,187124886.363636,1,23339,13813,29630,9542,4251,3762,-2475,-3148,9255
2013-01-01,1,2013,A,576,358400,12662.595481182,12700.422807273,12623.940829045,12668.822665045,12668.822665045,162387913.636364,1,23969,13976,29822,9560,4087,3884,-2513,-3455,5490
2013-01-01,1,2013,T,233,449900,12662.595481182,12700.422807273,12623.940829045,12668.822665045,12668.822665045,162387913.636364,1,23969,13976,29822,9560,4087,3884,-2513,-3455,5490
2013-01-01,1,2013,D,542,901000,12662.595481182,12700.422807273,12623.940829045,12668.822665045,12668.822665045,162387913.636364,1,23969,13976,29822,9560,4087,3884,-2513,-3455,5490
